# wl command inventory — ASUS GT-AC5300, firmware 3.0.0.4.386_51582
# Regenerate with scripts/wl-inventory.sh. See docs/10-wl-commands.md for the tier model.
#
# A = bare call reads, safe to sweep      B = bare call acts, exclude from sweeps
# C = transmits or needs arguments        D = persistent/regulatory/calibration, do not touch
#
command	tier	help
a_mrate	A	valid values for 802.11a are (6, 9, 12, 18, 24, 36, 48, 54)
a_rate	A	valid values for 802.11a are (6, 9, 12, 18, 24, 36, 48, 54)
actframe	C	Send a Vendor specific Action frame to a channel
add_ie	A	Usage: wl add_ie <pktflag> length OUI hexdata
addwep	A	10, 26, 32, or 64 hex digits long. The encryption algorithm is
aibss_bcn_force_config	A	Get/Set AIBSS beacon force configuration
aibss_txfail_config	A	Set/Get txfail configuration for bcn_timeout, max tx retries and max atim failures
ampdu_activate_test	A	actiate
ampdu_clear_dump	B	clear ampdu counters
ampdu_retry_limit_tid	A	Set per-tid ampdu retry limit; usage: wl ampdu_retry_limit_tid <tid> [0~31]
ampdu_rr_retry_limit_tid	A	Set per-tid ampdu regular rate retry limit; usage: wl ampdu_rr_retry_limit_tid <tid> [0~31]
ampdu_rxaggr	A	enable/disable rx aggregation per tid or all tid for specific interface;
ampdu_send_addba	C	send addba to specified ea-tid; usage: wl ampdu_send_addba <tid> <ea>
ampdu_send_delba	C	send delba to specified ea-tid; usage: wl ampdu_send_delba <tid> <ea> [initiator]
ampdu_tid	A	enable/disable per-tid ampdu; usage: wl ampdu_tid <tid> [0/1]
ampdu_txaggr	A	enable/disable tx aggregation per tid or all tid for specific interface;
ampdu_txq_prof_dump	A	show txq histogram
ampdu_txq_prof_start	A	start sample txq profiling data
ampdu_txq_ss	A	take txq snapshot
anqpo_auto_hotspot	A	automatic ANQP query to maximum number of hotspot APs, default 0 (disabled)
anqpo_ignore_bssid_list	A	get, clear, set, or append to ANQP offload ignore BSSID list
anqpo_ignore_mode	A	ignore duplicate SSIDs or BSSIDs, default 0 (SSID)
anqpo_ignore_ssid_list	A	get, clear, set, or append to ANQP offload ignore SSID list
anqpo_results	A	Listens and displays ANQP results.
anqpo_set	A	set ANQP offload parameters
anqpo_start_query	B	start ANQP query to peer(s)
anqpo_stop_query	B	stop ANQP query
antdiv	A	0 - force use of antenna 0
antdiv_bcnloss	A	0- Disable Rx antenna flip feature based on consecutive beacon loss
antgain	A	usage: wl antgain ag0=0x1 ag1=0x2
ap	A	
ap_isolate	A	set/get AP isolation
apname	A	
arp_hostip	A	Add a host-ip address or display them
arp_hostip_clear	B	Clear all host-ip addresses
arp_ol	A	
arp_peerage	A	Get/Set age of the arp entry in minutes
arp_stats	A	Display ARP offload statistics
arp_stats_clear	B	Clear ARP offload statistics
arp_table_clear	B	Clear arp cache
arpoe	A	
assert_type	A	set/get the asset_bypass flag; usage: wl assert_type <1/0> (On/Off)
assertlog	A	get external assert logs
assoc	A	(also known as "status")
assoc_info	A	Returns the assoc req and resp information [STA only]
assoc_pref	A	Set/Get association preference.
assoclist	A	AP only: Get the list of associated MAC addresses.
atim	A	
atten	A	auto to revert to automatic control
auth	A	
authe_sta_list	A	Get authenticated sta mac address list
autho_sta_list	A	Get authorized sta mac address list
authorize	B	restrict traffic to 802.1X packets until 802.1X authorization succeeds
autochannel	A	auto channel selection:
autocountry_default	D	Select Country Code for use with Auto Contry Discovery
band	A	auto - auto switch between available bands (default)
bands	A	
bcmerrorstr	A	errorstring
bcnlenhist	A	Usage: wl bcnlenhist [0]
bcntrim_stats	A	Get Beacon Trim Statistics
beacon_info	A	Returns the 802.11 management frame beacon information
bg_mrate	A	force a fixed multicast rate for the B/G PHY:
bg_rate	A	valid values for 802.11b are (1, 2, 5.5, 11)
bi	A	
bmac_reboot	D	Reboot BMAC
bmon_bssid	A	Set monitored BSSID
bs_data	A	usage: bs_data [options]
bss	A	
bss_peer_info	A	Get BSS peer info of all the peer's in the indivudual interface
bssid	A	
bssload_event_check	A	Listens forever for BSS Load events and prints them.
bssload_report	A	Get the latest BSS Load IE data from the associated AP's beacon
bssload_report_event	A	Get/Set BSS load threshold for sending WLC_E_BSS_LOAD event
bssload_static	A	get or set static BSS load
bssmax	A	
btc_dynctl	A	Usage:
btc_dynctl_sim	A	Usage: wl btc_dynctl_sim [1|0] [-b bt_sim_pwr] [-r bt_sim_rssi] [-w wl_sim_rssi]
btc_dynctl_status	A	Usage: command doeesn't take any arguments]
btc_flags	A	g/set BT Coex flags
btc_params	A	g/set BT Coex parameters
bw_cap	A	Usage: wl bw_cap <2g|5g> [<cap>]
cac_addts	A	add TSPEC, error if STA is not associated or WME is not enabled
cac_delts	A	delete TSPEC, error if STA is not associated or WME is not enabled
cac_delts_ea	A	delete TSPEC, error if STA is not associated or WME is not enabled
cac_tslist	A	Get the list of TSINFO in driver
cac_tslist_ea	A	Get the list of TSINFO for given STA in driver
cac_tspec	A	Get specific TSPEC with matching TSINFO
cac_tspec_ea	A	Get specific TSPEC for given STA with matching TSINFO
caldump	A	Usage: wl caldump <cal file name> to dump current calibration info to file
calload	D	Usage: wl calload <cal file name> to download existing calibration data file
cap	A	
cca_get_stats	A	Usage: wl cca_stats [-c channel] [-s num seconds][-n]
cck_txbw	A	get/set cck txbw (2=20Mhz(lower), 3=20Mhz upper)
chan_info	A	channel info
chanim_acs_record	A	get the auto channel scan record.
chanim_mode	A	get/set channel interference measure (chanim) mode
chanim_state	A	get channel interference state
chanim_stats	A	get chanim stats
channel	A	valid channels for 802.11b/g (2.4GHz band) are 1 through 14
channel_qa	A	Get last channel quality measurment
channel_qa_start	A	Start a channel quality measurment
chq_event	A	Set parameters associated with channel quality event notification
cis_source	D	Display which source is used for the SDIO CIS
cisconvert	D	Print CIS tuple for given name=value pair
cisdump	D	-b <file> -- also write raw bytes to <file>
cisupdate	D	Write a hex byte stream to specified byte offset to the CIS source (either SROM or OTP)
ciswrite	D	Write specified <file> to the SDIO/PCIe CIS source (either SROM or OTP)Usage: ciswrite [-p|--pc
clear_radar_status	A	Clear radar detection status
clk	A	0: clock off
clm_data_ver	D	get CLM data version information
clmload	D	Usage: wl clmload <clm blob file name>
clmver	A	
closed	A	0 is open, 1 is hide
closednet	A	set/get BSS closed network attribute
cmds	A	
constraint	C	Send an 802.11h Power Constraint IE
counters	A	Return driver counter values
country	D	For simple country setting: wl country <country>
country_ie_override	D	To set/get country ie
crsuprs	A	carriersuprs syntax is: crsuprs <channel>
csa	A	<mode> <count> <channel>[a,b][n][u,l][frame type]
csscantimer	A	auto channel scan timer in minutes (0 to disable)
cur_etheraddr	A	Get/set the current hw address
cur_mcsset	A	Get the current mcs set
curppr	A	
customvar1	A	print the value of customvar1 in hex format
cwmax	A	
cwmin	A	
deauthenticate	B	deauthenticate a STA from the AP with optional reason code (AP ONLY)
deauthorize	B	do not restrict traffic to 802.1X packets until 802.1X authorization succeeds
default_rateset	A	Returns supported rateset of given phy.
del_ie	A	Usage: wl del_ie <pktflag> length OUI hexdata
delta_stats	A	get the delta statistics for the last interval
delta_stats_interval	A	set/get the delta statistics interval in seconds (0 to disable)
desired_bssid	A	Set or get the desired BSS ID value
devpath	A	
dfs_ap_move	B	Move the AP interface to dfs channel specified:
dfs_channel_forced	A	Set <channel>[a,b][n][u,l]
dfs_status	A	Get dfs status
diag	D	
disassoc	B	Disassociate from the current BSS/IBSS.
dngl_wd	A	Usage: wl dngl_wd 0\1 (to turn off\on)
dongleset	D	Enable uart driver
down	B	
drift_stats_reset	B	Reset drift statistics
dtim	A	
dump	A	
